id;subject_rf;name_full;name_short;name_employee;inn;orn;legal_address;actual_address;phone;email;site;count_mkd;area_total;w_summ
8927178;"Новосибирская область";"Жилищный кооператив «Металлург-3»";"ЖК «Металлург-3»";"Рената Валерьевна Аникина";5404118470;1035401479960;"г. Новосибирск, ул. Немировича-Данченко, д. 28";"г. Новосибирск, ул. Немировича-Данченко, д. 28";89538055731;anikina-renata@mail.ru;http://тсж.жкхнсо.рф/жк-металлург3/;1;3374,80;30,50
8829572;"Новосибирская область";"Жилищный кооператив ""Мечта""";"ЖК ""Мечта""";"Наталья Николаевна Бородина";5409103237;1025403870733;"г. Новосибирск, ул. Березовая, д. 1";"г. Новосибирск, ул. Березовая, д. 1";+7(383)3073140;gk_mechta@mail.ru;;1;6116,00;28,50
8650760;"Новосибирская область";"Жилищный кооператив ""МИР""";"ЖК ""МИР""";"Дмитрий Михайлович Лизунков";5402103301;1025401027706;"г. Новосибирск, ул. Дачная, д. 25/1, п. 73";"г. Новосибирск, ул. Дачная, д. 25/1, п. 15";"+7 9612286256";ldm.arc@mail.ru;;1;4147,60;28,50
8929290;"Новосибирская область";"Жилищный кооператив ""ПАРУС-1""";"ЖК ""ПАРУС-1""";"Александр Васильевич Митин";5410109787;1025403914106;"г. Новосибирск, ул. Кропоткина, д. 134, п. 201";"г. Новосибирск, ул. Кропоткина, д. 134, п. 201";89231245134;avmi58@mail.ru;;1;33407,20;30,50
8156765;"Новосибирская область";"Жилищный Кооператив ""Планета""";"ЖК ""Планета""";"Андрей Владимирович Прямоносов";5402103358;1025401026562;"г. Новосибирск, ул. Дачная, д. 25/2";"г. Новосибирск, ул. Дачная, д. 25/2";"8 913 380 14 15";planeta25-2@mail.ru;www.планета.жкх-новосибирск.рф;1;3210,04;27,50
8929193;"Новосибирская область";"Жилищный кооператив ""Радуга-2""";"ЖК ""Радуга-2""";"Владимир Викторович Лобекин";5409104093;1025403868786;"г. Новосибирск, ул. Шукшина, д. 7";"г. Новосибирск, ул. Шукшина, д. 7";8-913-382-20-33;shukshina7@inbox.ru;;1;2582,70;29,50
8642608;"Новосибирская область";"Жилищный кооператив ""Роща""";"ЖК ""Роща"" ";"Зинаида Петровна Куликова";5410109434;1025403907022;"г. Новосибирск, ул. Олеко Дундича, д. 25";"г. Новосибирск, ул. Олеко Дундича, д. 25";2041385;zina.kulikova.38@mail.ru;http://жк-роща.рф;1;5809,20;28,50
8915855;"Новосибирская область";"Жилищный кооператив ""Сибсельмашевец-1!";"ЖК ""Сибсельмашевец-1""";"Альбина Николаевна Белина";5404117846;1035401490541;"г. Новосибирск, ул. Немировича-Данченко, д. 14/2";"г. Новосибирск, ул. Немировича-Данченко, д. 14/2";"8 9139599645";kld123@yandex.ru;;1;2913,30;29,00
8913508;"Новосибирская область";"Жилищный кооператив Сибсельмашевец-4";"ЖК Сибсельмашевец-4";"Лидия Александровна Капгер";5404117839;1035401484766;"г. Новосибирск, ул. Ударная, д. 23";"г. Новосибирск, ул. Ударная, д. 23";(383)343-33-13;sibselmash4@gmail.com;;1;1188,98;24,50
8924406;"Новосибирская область";"Жилищный кооператив ""Снежинка""";"ЖК ""Снежинка""";"Сергей Михайлович Петров";5401108515;1025400518637;"г. Новосибирск, ул. Кошурникова, д. 51";"г. Новосибирск, ул. Кошурникова, д. 51";8-903-906-5781;gk-sneginka@mail.ru;;1;8670,00;23,50
8915206;"Новосибирская область";"Жилищный кооператив ""СОСНОВЫЙ БОР""";"ЖК ""Сосновый бор""";"Лариса Михайловна Бокслер";5402103326;1035401008862;"г. Новосибирск, ул. Дачная, д. 21, к. 3";"г. Новосибирск, ул. Дачная, д. 21, к. 3";8-960-794-92-41;boksler@yandex.ru;731.gkh.ru;1;6079,30;59,50
8627444;"Новосибирская область";"Жилищный кооператив «Тайга-2»";"ЖК «Тайга-2»";"Людмила Федоровна Гуменная";5402109208;1025401024747;"г. Новосибирск, ул. Линейная, д. 47";"г. Новосибирск, ул. Линейная, д. 47";236-04-55;Luiza_Privalova@mail.ru;http://тсж.жкхнсо.рф/жк-тайга2/;1;;13,50
8914611;"Новосибирская область";"жилищный кооператив "" Транспортник""";"ЖК ""Транспортник""";"Дина Борисовна Оренбурова Дина Борисовна";5407120886;1035403190668;"г. Новосибирск, ул. Ленина, д. 30/2";"г. Новосибирск, ул. Ленина, д. 30/2";89137404356;dina.orenburova@yandex.ru;deqkh.ru;1;4104,90;33,50
8880531;"Новосибирская область";"Жилищный кооператив ""Ударник""";"ЖК ""Ударник""";"Игорь Александрович Горнаков";5401102016;1035400510771;"г. Новосибирск, ул. Доватора, д. 13";"г. Новосибирск, ул. Доватора, д. 13";8-913-200-72-63;Ekaterina_02041957@mail.ru;;1;7087,10;31,50
8914827;"Новосибирская область";"Жилищно-строительный кооператив ""Южный-1""";"ЖКХ ""Южный-1""";"Василий Александрович Киселев";5408119749;2085473070362;"г. Новосибирск, ул. Печатников, д. 11";"г. Новосибирск, ул. Печатников, д. 11";89529141725;vakiselev82@rambler.ru;http://731.degkh.ru/zhsk_yuzhnyy_1/;1;2700,00;21,00
8922420;"Новосибирская область";"Жилищный кооператив ""Центральный""";"ЖК ""Центральный""";"Марина Вианоровна Кондратьева";5405115778;1025401924668;"г. Новосибирск, ул. Белинского, д. 6";"г. Новосибирск, ул. Белинского, д. 6";(383)218-84-91;bel6@bel6.ru;http://bel6.ru/;1;21052,10;26,50
8918316;"Новосибирская область";"Жилищный кооператив ""Электрон""";"ЖК ""Электрон""";" Андрей Геннадьевич Маркин";5405108756;1025401924514;"г. Новосибирск, ул. Добролюбова, д. 22";"г. Новосибирск, ул. Добролюбова, д. 22";"8 (962) 8383798";;;1;4372,10;22,00
8431458;"Новосибирская область";"Жилищный кооператив ""Южный-3""";"ЖК ""Южный-3""";"Наталья Игоревна Деркачева";5405116482;1025401932093;"г. Новосибирск, ул. Декабристов, д. 111";"г. Новосибирск, ул. Декабристов, д. 111";8(961)875-66-02;dekabristov.111@mail.ru;jkyuznyi.narod2.ru;1;13472,00;
8595040;"Новосибирская область";"Жилищно-строительный кооператив №16";"ЖСК №16";"Владимир Михайлович Горлов";5445008275;1025404731406;"г. Бердск, ул. Лунная, д. 14";"г. Бердск, ул. Лунная, д. 14";3834137072;gsk16@list.ru;лунная14.рф;1;4421,00;28,50
8612838;"Новосибирская область";"ЖИЛИЩНО-СТРОИТЕЛЬНЫЙ КООПЕРАТИВ-17";ЖСК-17;"ВАЛЕНТИНА КИРИЛЛОВНА КОРЖОВА";5445008229;1025404730427;"г. Бердск, ул. Ленина, д. 90";"г. Бердск, ул. Ленина, д. 90";"8(38341)29396 ";korgova55@mail.ru;;2;10578,00;24,00
8924638;"Новосибирская область";"Жилищно-строительный кооператив ""50 лет Октября""";"ЖСК ""50 лет Октября""";"Владимир Афанасьевич Матвеев";5405115619;1025401934975;"г. Новосибирск, ул. Добролюбова, д. 24";"г. Новосибирск, ул. Добролюбова, д. 24";8(383)2060494;natalya_wolf@mail.ru;;1;4940,40;28,00
8876694;"Новосибирская область";"Жилищно-строительный кооператив ""50-лет Советской Армии""";"ЖСК 50 лет Советской армии";"Иосиф Михайлович Лернер";5401108610;1035400513081;"г. Новосибирск, ул. Кошурникова, д. 13";"г. Новосибирск, ул. Кошурникова, д. 13";3832783663;s14031969@mail.ru;www.reformagkh.ru;1;5910,60;
8915929;"Новосибирская область";"ЖИЛИЩНО-СТРОИТЕЛЬНЫЙ КООПЕРАТИВ ""8 МАРТА""";"ЖСК ""8 МАРТА""";"Владимир Анатольевич Балаганский";5402110010;1025401021690;"г. Новосибирск, ул. Переездная, д. 64";"г. Новосибирск, ул. Переездная, д. 64";89618484857;jsk8marta@mail.ru;http://8-mart.i-gkh.ru;1;8381,00;28,50
8928389;"Новосибирская область";"Жилищно-строительный кооператив ""9 Мая""";"ЖСК ""9 Мая""";"Сергей Викторович Ганчин";5405115400;1025401924492;"г. Новосибирск, ул. Никитина, д. 9";"г. Новосибирск, ул. Никитина, д. 9";89529066999;sganchin@yandex.ru;;1;2658,90;24,50
8915373;"Новосибирская область";"Жилищно-строительный кооператив ""Авангард""";"ЖСК ""Авангард""";"Тамара Михайловна Кузьмина";5402103319;1025401024615;"г. Новосибирск, ул. Михаила Перевозчикова, д. 7";"г. Новосибирск, ул. Михаила Перевозчикова, д. 7";2272225;Inkognito94@list.ru;;1;2633,30;
8918723;"Новосибирская область";"Жилищно-строительный кооператив ""Аврора""";"ЖСК ""Аврора""";"Валерий Федорович Голямов";5406014412;1025402488803;"г. Новосибирск, ул. Ипподромская, д. 30";"г. Новосибирск, ул. Ипподромская, д. 30";224-08-19;avroragsk@mail.ru;http://731.degkh.ru/zhsk_avrora/;2;21105,30;
8936818;"Новосибирская область";"Жилищно-строительный кооператив ""Автогенная 69""";"ЖСК ""Автогенная 69""";"Анатолий Владимирович Салаев";5407467285;1115476091037;"г. Новосибирск, ул. Советская, д. 37, п. 410";"г. Новосибирск, ул. Автогенная, д. 69, п. -";8(383)209-08-22;niike@mail.ru;;1;14400,90;31,50
8554658;"Новосибирская область";"Жилищно-строительный кооператив ""Автомобилист""";"ЖСК ""Автомобилист""";"Галина Александровна Шевелева";5447105475;2125485043650;"г. Куйбышев, кв-л. 14-й, д. 1";"г. Куйбышев, кв-л. 14-й, д. 1";5-26-26;sever7777777@mail.ru;;1;2860,90;22,00
8882437;"Новосибирская область";"Жилищно-строительный кооператив ""Автомобилист-1""";"ЖСК ""Автомобилист-1""";"Любовь Петровна Анисимова";5401110176;1025400519440;"г. Новосибирск, ул. Коминтерна, д. 128/1";"г. Новосибирск, ул. Коминтерна, д. 128/1, п. офис 2";8-923-701-41-06;Avtomobilist11989@mail.ru;http://731.degkh.ru/zhsk_avtomobilist_1/;1;11014,10;33,50
8652011;"Новосибирская область";"Жилищно-строительный кооператив «Аист»";"ЖСК «Аист»";"Нина Ивановна Григорьева";5401108674;1025400529846;"г. Новосибирск, ул. Адриена Лежена, д. 3/1";"г. Новосибирск, ул. Адриена Лежена, д. 3/1";"+7 (383) 267-74-90";ekaterina_02041957@mail.ru;http://тсж.жкхнсо.рф/жск-аист/;1;5535,00;28,50
8925919;"Новосибирская область";"Жилищно-строительный кооператив ""АКАДЕМЖИЛСТРОЙ""";"ЖСК ""АКАДЕМЖИЛСТРОЙ""";"Геннадий Алексеевич Ефентьев";5405358386;1075405027940;"г. Новосибирск, ул. Сакко и Ванцетти, д. 40";"г. Новосибирск, ул. Сакко и Ванцетти, д. 40";8-963-944-5516;ega-igd@mail.ru;www.академжилстрой.рф;1;6645,30;29,00
8583460;"Новосибирская область";"Жилищно-строительный кооператив ""Аккорд""";"ЖСК Аккорд";"Людмила Михайловна Галунга";5401110225;1045400512431;"г. Новосибирск, ул. Кошурникова, д. 29";"г. Новосибирск, ул. Кошурникова, д. 29";8-953-773-06-89;chng72@mail.ru;;1;;22,50
8913089;"Новосибирская область";"Жилищно-строительный кооператив ""Алмаз""";"ЖСК Алмаз";"Виктор Арсентьевич Купцов";5404118511;1025401506943;"г. Новосибирск, ул. Пермитина, д. 8";"г. Новосибирск, ул. Пермитина, д. 8";89232570664;zskalmaz@ya.ru;;1;3398,40;21,00
8674018;"Новосибирская область";"Жилищно-строительный кооператив Алмаз-1";"ЖСК Алмаз-1";"Галина Викторовна Дмитриева";5404117726;1025401480477;"г. Новосибирск, ул. Выставочная, д. 11";"г. Новосибирск, ул. Выставочная, д. 11";351-50-22,;dgv2308@mail.ru;;1;4526,00;25,00
8927552;"Новосибирская область";"ЖИЛИЩНО-СТРОИТЕЛЬНЫЙ КООПЕРАТИВ ""АЛЬТАИР""";"ЖСК ""АЛЬТАИР""";"Елена Владимировна Кадина";5404118014;1025401482600;"г. Новосибирск, ул. Связистов, д. 123";"г. Новосибирск, ул. Связистов, д. 123";356-69-43;altair.1985@ya.ru;;1;8569,30;28,50
8926116;"Новосибирская область";"Жилищно-строительный кооператив ""Аметист""";"ЖСК ""Аметист""";"Наталья Николаевна Черенкова";5405115168;1025401923810;"г. Новосибирск, ул. Федосеева, д. 34";"г. Новосибирск, ул. Федосеева, д. 34";8-913-902-33-86;nncherenkova@yandex.ru;http://тсж.жкхнсо.рф/жск-аметист/;2;7533,32;28,50
8926115;"Новосибирская область";"Жилищно-строительный кооператив ""Ангара""";"ЖСК ""Ангара""";"Нина Борисовна Бобина";5405115552;1025401931136;"г. Новосибирск, ул. Бориса Богаткова, д. 193";"г. Новосибирск, ул. Бориса Богаткова, д. 193";260-85-43;prokopenkolg@bk.ru;;1;3008,00;27,00
8925596;"Новосибирская область";"Жилищно-строительный кооператив ""Аргон""";"ЖСК ""Аргон""";"Валентина Михайловна Кочетова";5402109198;1025401022140;"г. Новосибирск, ул. Кропоткина, д. 269, п. 111";"г. Новосибирск, ул. Кропоткина, д. 269, п. 111";"8(383) 273-35-50";argon269@mail.ru;0;1;16103,10;43,50
8496166;"Новосибирская область";"Жилищно-строительный кооператив ""Арфа""";"ЖСК ""Арфа";"Алексей Михайлович Базанов";5404117733;1025401487858;"г. Новосибирск, ул. Невельского, д. 21";"г. Новосибирск, ул. Невельского, д. 21";89529203161;arfa.ngs.ru@mail.ru;731.degkh.ru/zhsk_arfa/;1;3304,00;30,00
8593615;"Новосибирская область";"Жилищно-строительный кооператив ""Аэрофлот-2""";"ЖСК ""Аэрофлот-2""";"Михаил Иннокентьевич Ананьин";5404118102;1025401498715;"г. Новосибирск, ул. Широкая, д. 133, к. 1";"г. Новосибирск, ул. Широкая, д. 133, к. 1";8-913-480-42-09;plehanova-56@mail.ru;;1;9238,20;26,50
8872169;"Новосибирская область";"Жилищно-строительный кооператив Байкал -2";"ЖСК Байкал-2";"Валентина Павловна Емельянцева";5401108554;1025400520221;"г. Новосибирск, ул. Кошурникова, д. 7/1";"г. Новосибирск, ул. Кошурникова, д. 7/1, п. 44";"89139367256 89134503293";mikirtumovalv@mail.ru;reformagkh.ru;1;12256,80;26,50
8927111;"Новосибирская область";"Жилищно-строительный кооператив ""Березка-3""";"ЖСК ""Березка-3""";"Елена Васильевна Пичугина";5403105478;1025401309230;"г. Новосибирск, ул. Зорге, д. 117/2";"г. Новосибирск, д. 117/2";89134750734;eg-ger@yandex.ru;http://berezka-3.ru/;1;4799,70;25,50
8920886;"Новосибирская область";"Жилищно-строительный кооператив ""БИЯ""";"ЖСК ""БИЯ""";"Татьяна Николаевна Сухосыр";5405114260;1025401936890;"г. Новосибирск, ул. Высоцкого, д. 40";"г. Новосибирск, ул. Высоцкого, д. 40";"(383) 3470205";nfyz1960@sibnet.ru;;2;67661,00;31,00
8661069;"Новосибирская область";"Жилищно-строительный кооператив ""Венера""";"ЖСК ""Венера""";"Вероника Владимировна Ревидович";5407120861;1025403223526;"г. Новосибирск, ул. Челюскинцев, д. 18";"г. Новосибирск, ул. Челюскинцев, д. 18";8-913-939-16-86;zhsk@mail.ru;;1;10565,60;29,50
8915710;"Новосибирская область";"Жилищно строительный кооператив ""Вертикаль""";"ЖСК ""Вертикаль""";"Галина Корольевна Кузнецова";5402103333;1025401019918;"г. Новосибирск, ул. Жуковского, д. 113";"г. Новосибирск, ул. Жуковского, д. 113";"(383) 239-1306, 226-8564";vertikalgsk@bk.ru;;1;3820,40;23,00
8554990;"Новосибирская область";"Жилищно-строительный кооператив ""Весенний""";"ЖСК ""Весенний""";"Татьяна Эрикленовна Дрозина";5402124622;1025401026617;"г. Новосибирск, ул. Тимирязева, д. 72";"г. Новосибирск, ул. Тимирязева, д. 72";8-913-724-9878;gskvesenniy@yandex.ru;;1;2633,30;27,00
8934579;"Новосибирская область";"жилищно-строительный кооператив  ""ВМЕСТЕ-1""";"ЖСК ""ВМЕСТЕ-1""";"Ольга Владимировна Кистанова";5405485680;1135476168123;"г. Новосибирск, ул. Выборная, д. 91/2, п. офис 1";"г. Новосибирск, ул. Выборная, д. 91/2, п. офис 1";8-9137119934;vmeste_1@bk.ru;https://vk.com/vmeste54;1;13637,90;26,00
8604431;"Новосибирская область";"Жилищно-строительный кооператив «Волна»";"ЖСК «Волна»";"Людмила Ивановна Костылева";5403119784;1025401313178;"г. Новосибирск, ул. Урманова, д. 1";"г. Новосибирск, ул. Урманова, д. 1";8-905-950-22-56;volna630033@yandex.ru;;1;10989,80;29,50
8927590;"Новосибирская область";"ЖСК ВОЛНА";"ЖСК ВОЛНА";"Елена Сергеевна Филиппова";5406016402;1025402469762;"г. Новосибирск, ул. Некрасова, д. 61";"г. Новосибирск, ул. Некрасова, д. 61";(383)2112561;iris18364@mail.ru;www.reformagkh.ru;1;3324,90;24,00
8885293;"Новосибирская область";"Жилищно-строительный кооператив  ""Волна-2""";"ЖСК""Волна-2""";"Дмитрий Анатольевич Петров";5401108498;1025400514930;"г. Новосибирск, ул. Гоголя, д. 184/1";"г. Новосибирск, ул. Гоголя, д. 184/1";2783507;dmitriy-petrov-48@mail.ru;;1;4336,50;53,50
